id,name,category,n_dlcs,n_expansions,year,follows,in_franchise,genres,companies,platforms,user_score,user_rating,n_user_reviews
19560,God of War,main_game,0,0,2018,508,True,"Hack and slash/Beat 'em up, Adventure","Sony Interactive Entertainment, SIE Santa Monica Studio, Jetpack Interactive","PC (Microsoft Windows), PlayStation 4",94.7639661051555,great,1479
529,Far Cry 3,main_game,0,0,2012,679,False,"Shooter, Adventure","Ubisoft Entertainment, Ubisoft Montreal, Massive Entertainment - A Ubisoft Studio, Ubisoft Shanghai","PC (Microsoft Windows), PlayStation 3, Xbox 360",83.873058636772,great,1442
75,Mass Effect 3,main_game,6,0,2012,597,False,"Shooter, Role-playing (RPG), Adventure","BioWare Edmonton, Electronic Arts, BioWare","PC (Microsoft Windows), PlayStation 3, Xbox 360, Wii U",86.1915882622251,great,1423
16,Fallout: New Vegas,main_game,6,0,2010,532,True,"Shooter, Role-playing (RPG)","Obsidian Entertainment, Bandai Namco Entertainment, 1C/Cenega, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360",86.9704157785906,great,1356
1029,The Legend of Zelda: Ocarina of Time,main_game,0,0,1998,627,True,"Platform, Puzzle, Role-playing (RPG), Adventure","Nintendo EAD, Nintendo","Nintendo 64, Wii, Wii U",91.9227776862053,great,1350
1011,Borderlands 2,main_game,15,0,2012,469,False,"Shooter, Role-playing (RPG)","Gearbox Software, 2K Games, Iron Galaxy Studios, Aspyr Media, Sony Computer Entertainment of America","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, PlayStation Vita, PlayStation 4",84.7556964162518,great,1321
25076,Red Dead Redemption 2,main_game,0,0,2018,749,True,"Shooter, Role-playing (RPG), Adventure","Take-Two Interactive, Rockstar Games","PC (Microsoft Windows), PlayStation 4, Xbox One, Google Stadia",92.6747567761964,great,1313
7351,DOOM,main_game,3,0,2016,401,True,Shooter,"id Software, Panic Button Games, Bethesda Softworks","PC (Microsoft Windows), PlayStation 4, Xbox One, Google Stadia",86.3489379389653,great,1283
121,Minecraft,main_game,0,0,2011,649,True,"Adventure, Arcade",Mojang Studios,"Linux, PC (Microsoft Windows), Mac",84.3096393544445,great,1272
11156,Horizon Zero Dawn,main_game,0,1,2017,645,True,"Shooter, Role-playing (RPG), Adventure","Guerrilla Games, Sony Interactive Entertainment",PlayStation 4,90.38027077223548,great,1270
1871,The Walking Dead: Season One,main_game,1,0,2012,520,True,"Point-and-click, Shooter, Adventure","Sony Computer Entertainment, Inc. (SCEI), Telltale Games","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch",85.9674508621927,great,1264
7599,Life is Strange,main_game,0,0,2015,527,True,"Role-playing (RPG), Adventure","Dontnod Entertainment, Square Enix, Feral Interactive","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, iOS, PlayStation 4, Xbox One",83.5913098540658,great,1262
18,Max Payne,main_game,0,0,2001,487,True,Shooter,"Gathering of Developers, MacSoft Games, Rockstar Toronto, 3D Realms, neo Software, War Drum Studios, Westlake Interactive, Feral Interactive, Rockstar Games, Remedy Entertainment, Take-Two Interactive","PC (Microsoft Windows), PlayStation 2, PlayStation 3, Xbox, Xbox 360, Mac, Android, iOS, PlayStation 4",86.5701710877005,great,1248
623,Call of Duty 4: Modern Warfare,main_game,0,0,2007,469,True,"Shooter, Simulator","Activision, Infinity Ward, n-Space, Treyarch","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",84.32320873317121,great,1247
15,Fallout 3,main_game,5,0,2008,535,True,"Shooter, Role-playing (RPG)","Bethesda Game Studios, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360",83.6034172776414,great,1233
128,Assassin's Creed,main_game,0,0,2007,353,True,"Platform, Adventure","Ubisoft Montreal, Ubisoft Entertainment","PC (Microsoft Windows), PlayStation 3, Xbox 360",73.54953744004929,good,1220
1074,Super Mario 64,main_game,0,0,1996,481,True,"Platform, Adventure","Nintendo, Nintendo EAD","Nintendo 64, Wii, Wii U",89.9967956880003,great,1219
731,Grand Theft Auto IV,main_game,0,0,2008,460,True,"Shooter, Racing, Adventure","Rockstar North, Rockstar Toronto, Rockstar Games, Take-Two Interactive","PC (Microsoft Windows), PlayStation 3, Xbox 360",82.8869838016618,great,1199
113,Assassin's Creed: Brotherhood,main_game,2,0,2010,478,True,Adventure,"Ubisoft Entertainment, Ubisoft Montreal, Ubisoft Annecy, (Archive) Ubisoft Quebec, Ubisoft Bucharest, Ubisoft Singapore","PC (Microsoft Windows), PlayStation 3, Xbox 360",83.1396778827402,great,1187
533,Dishonored,main_game,4,0,2012,409,False,"Role-playing (RPG), Adventure","Arkane Studios, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One",85.1571026997758,great,1180
76,Dragon Age: Origins,main_game,7,1,2009,441,False,Role-playing (RPG),"Electronic Arts, BioWare, Edge of Reality","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",87.0103108506739,great,1180
1070,Super Mario World,main_game,0,0,1990,536,True,"Platform, Adventure","Nintendo, Nintendo","Wii, Super Nintendo Entertainment System (SNES), Wii U, Super Famicom, New Nintendo 3DS",92.9297990073536,great,1178
59,The Elder Scrolls IV: Oblivion,main_game,8,2,2006,478,False,"Role-playing (RPG), Adventure","Bethesda Game Studios, 4J Studios, 2K Games, Spike, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360",85.22831113653231,great,1155
1970,Assassin's Creed IV: Black Flag,main_game,11,0,2013,443,True,"Platform, Adventure","Ubisoft, Ubisoft Montreal, Ubisoft Québec, Ubisoft Montpellier, Ubisoft Kyiv, Ubisoft Sofia, Ubisoft Singapore, Ubisoft Annecy, Ubisoft Entertainment, Ubisoft Bucharest, Ubisoft Massive, Ubisoft Chengdu, Ubisoft Milan, Ubisoft Shanghai, Ubisoft Pune, Ubisoft North America","PC (Microsoft Windows), PlayStation 3, Xbox 360, Wii U, PlayStation 4, Xbox One, Google Stadia",82.6243230234922,great,1143
974,Resident Evil 4,main_game,0,0,2005,398,True,Shooter,"Capcom, Capcom Production Studio 4, Typhoon Games",Nintendo GameCube,87.30333394450261,great,1108
512,Uncharted 3: Drake's Deception,main_game,0,0,2011,401,True,"Shooter, Platform, Adventure","Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",PlayStation 3,85.249532073259,great,1105
1026,The Legend of Zelda: A Link to the Past,main_game,0,0,1991,449,True,"Role-playing (RPG), Adventure","St. GIGA, Nintendo, Nintendo EAD, Nintendo","Wii, Super Nintendo Entertainment System (SNES), Wii U, Super Famicom, New Nintendo 3DS, Satellaview",92.2385721111404,great,1098
9630,Fallout 4,main_game,6,0,2015,494,True,"Shooter, Role-playing (RPG)","Bethesda Game Studios, Bethesda Softworks","PC (Microsoft Windows), PlayStation 4, Xbox One",79.93424669841619,great,1086
12517,Undertale,main_game,0,0,2015,358,True,"Role-playing (RPG), Turn-based strategy (TBS), Adventure, Indie","tobyfox, temmie, 8-4","Linux, PC (Microsoft Windows), Mac, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch",87.5436681905432,great,1077
375,Metal Gear Solid,main_game,0,0,1998,416,True,"Strategy, Adventure","Microsoft, Digital Dialect, Konami Computer Entertainment Japan, Konami Digital Entertainment","PlayStation, PlayStation 3, PlayStation Portable",90.5046159098196,great,1075
1068,Super Mario Bros. 3,main_game,0,0,1988,461,True,"Platform, Adventure","Nintendo, Nintendo EAD","Wii, Nintendo Entertainment System (NES), Nintendo 3DS, Wii U, Family Computer",89.1401898123247,great,1071
730,Grand Theft Auto III,main_game,0,0,2001,367,True,"Shooter, Racing, Simulator, Adventure","DMA Design, Rockstar Games, Take-Two Interactive, Rockstar Vienna","PC (Microsoft Windows), PlayStation 2, Xbox, Mac, Android, iOS, PlayStation 4",85.19299520215951,great,1062
1331,Limbo,main_game,0,0,2010,345,False,"Platform, Puzzle, Adventure, Indie","Microsoft Game Studios, Ryan C. Gordon, Double Eleven, Playdead, Playdead","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch",81.27379192608011,great,1032
427,Final Fantasy VII,main_game,0,0,1997,414,True,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Square, Eidos Interactive, Square Enix, Sony Computer Entertainment","PC (Microsoft Windows), PlayStation, Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",90.416329998856,great,1032
7342,INSIDE,main_game,0,0,2016,312,False,"Platform, Puzzle, Adventure, Indie",Playdead,"PC (Microsoft Windows), Mac, iOS, PlayStation 4, Xbox One, Nintendo Switch",86.6718813362376,great,1020
132,Warcraft III: Reign of Chaos,main_game,0,1,2002,399,True,"Real Time Strategy (RTS), Strategy","Blizzard Entertainment, Sierra Entertainment, Capcom","PC (Microsoft Windows), Mac",88.43243568645408,great,1012
559,Call of Duty: Modern Warfare 2,main_game,2,0,2009,312,True,Shooter,"Infinity Ward, Activision, n-Space, SPOV, The Ant Farm, Earbash Inc., Shadows in Darkness, Vykarian, PCB Productions, SIDE UK Ltd, 87eleven, Xloc. inc, Blade Games World, Ignited Minds, LLC, Hamagami/Carroll Inc.","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",81.83088229143401,great,1007
478,The Witcher 2: Assassins of Kings,main_game,0,0,2011,437,True,"Role-playing (RPG), Adventure","Atari, cdp.pl, Bandai Namco Entertainment, CyberFront, Spike ChunSoft, CD Projekt RED","Linux, PC (Microsoft Windows), Xbox 360, Mac",84.82904038023561,great,1005
247,Half-Life 2: Episode Two,standalone_expansion,0,0,2007,397,True,"Shooter, Puzzle","Valve Corporation, CyberFront, Valve Corporation, EA Games","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",87.6792089069093,great,1001
7334,Bloodborne,main_game,0,1,2015,400,False,"Role-playing (RPG), Adventure","Sony Computer Entertainment, Inc. (SCEI), FromSoftware",PlayStation 4,91.3280444607945,great,999
1266,Assassin's Creed III,main_game,4,0,2012,320,True,"Strategy, Adventure","Ubisoft Entertainment, Ubisoft Montreal, Ubisoft Singapore, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Kyiv, (Archive) Ubisoft Quebec, Ubisoft","PC (Microsoft Windows), PlayStation 3, Xbox 360, Wii U",73.1133455113156,good,985
26758,Super Mario Odyssey,main_game,0,0,2017,364,True,"Platform, Adventure","1-UP Studio, Nintendo",Nintendo Switch,89.79077900226541,great,963
5503,Batman: Arkham Knight,main_game,36,1,2015,438,True,"Hack and slash/Beat 'em up, Adventure","Rocksteady Studios, Warner Bros. Interactive Entertainment, Iron Galaxy Studios","PC (Microsoft Windows), PlayStation 4, Xbox One",85.2874687506217,great,948
3025,Middle-earth: Shadow of Mordor,main_game,3,0,2014,397,True,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Monolith Productions, Behaviour Interactive, WB Games, Feral Interactive","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, PlayStation 4, Xbox One",80.3713450699153,great,946
11133,Dark Souls III,main_game,2,0,2016,326,True,"Role-playing (RPG), Adventure","Bandai Namco Entertainment, FromSoftware","PC (Microsoft Windows), PlayStation 4, Xbox One",87.4284455632797,great,933
358,Super Mario Bros.,main_game,0,0,1985,371,True,"Platform, Adventure","Nintendo EAD, Nintendo, Nintendo","Wii, Nintendo Entertainment System (NES), Nintendo 3DS, Wii U, Family Computer Disk System, Family Computer, Nintendo Switch",83.9823673846464,great,926
126,Diablo II,main_game,0,1,2000,342,True,"Role-playing (RPG), Hack and slash/Beat 'em up","Blizzard Entertainment, Blizzard North, Sierra Entertainment, Havas Interactive","PC (Microsoft Windows), Mac",88.6940102350337,great,919
116,Star Wars: Knights of the Old Republic,main_game,1,0,2003,401,True,"Role-playing (RPG), Adventure","BioWare, LucasArts, Activision, Aspyr Media","PC (Microsoft Windows), Xbox, Mac, Android, iOS, Nintendo Switch",90.8731083535857,great,919
19565,Marvel's Spider-Man,main_game,3,0,2018,347,True,"Hack and slash/Beat 'em up, Adventure","Insomniac Games, Sony Interactive Entertainment",PlayStation 4,88.0169705450485,great,912
6036,The Last of Us Remastered,remaster,0,0,2014,474,True,"Shooter, Adventure","Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",PlayStation 4,94.5383050710287,great,896
7344,Ori and the Blind Forest,main_game,0,0,2015,313,True,"Platform, Puzzle, Adventure, Indie","Moon Studios, Microsoft Studios","PC (Microsoft Windows), Xbox One, Nintendo Switch",88.9346324582303,great,887
1384,Hotline Miami,main_game,0,0,2012,348,False,"Shooter, Indie","Dennaton Games, Devolver Digital, Abstraction Games","Linux, PC (Microsoft Windows), PlayStation 3, Mac, Android, PlayStation Vita, PlayStation 4, Google Stadia",84.0597728674763,great,885
39,Mafia,main_game,0,0,2002,344,False,"Fighting, Shooter, Racing, Adventure","Illusion Softworks, Gathering of Developers, Take-Two Interactive","PC (Microsoft Windows), PlayStation 2, Xbox",87.54368412835021,great,885
2155,Dark Souls,main_game,1,0,2011,382,True,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","FromSoftware, Bandai Namco Entertainment","PC (Microsoft Windows), PlayStation 3, Xbox 360",87.022589185513,great,884
1262,South Park: The Stick of Truth,main_game,2,0,2014,363,True,"Role-playing (RPG), Strategy, Adventure","Ubisoft Entertainment, Obsidian Entertainment, South Park Digital Studios, Ubisoft","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One, Nintendo Switch",84.5686827909862,great,877
1372,Counter-Strike: Global Offensive,main_game,1,0,2012,431,False,"Shooter, Tactical","Hidden Path Entertainment, Valve Corporation","Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",82.0156642237673,great,869
37,Dead Space,main_game,0,0,2008,349,False,Shooter,"EA Redwood Shores, Electronic Arts","PC (Microsoft Windows), PlayStation 3, Xbox 360",85.40133913865111,great,864
431,Uncharted: Drake's Fortune,main_game,0,0,2007,274,True,"Shooter, Platform, Adventure","Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",PlayStation 3,76.8923075414107,great,861
8197,Tetris,expanded_game,0,0,1984,273,True,"Puzzle, Strategy, Arcade","Infogrames, Mirrorsoft, Nintendo, Spectrum HoloByte, Inc., Tandy, W!Games, DR Korea, Philips Interactive Media, Inc., AcademySoft, Bullet-Proof Software, Sega, Elorg, Andromeda Software, Rowan Software, Sphere, Sanritsu, ZTC Systems","PC DOS, Mac, Commodore C64/128, Amiga, Nintendo Entertainment System (NES), Game Boy Color, ZX Spectrum, MSX, Sega Mega Drive/Genesis, Arcade, WonderSwan, Atari ST/STE, Sega Master System, BBC Microcomputer System, Commodore VIC-20, Apple II, Sharp X1",86.6747498746313,great,854
1802,Chrono Trigger,main_game,0,0,1995,396,True,Role-playing (RPG),Square,"Wii, PC (Microsoft Windows), PlayStation, PlayStation 3, Super Nintendo Entertainment System (SNES), Nintendo DS, Android, Super Famicom",93.99493994245547,great,853
2031,Wolfenstein: The New Order,main_game,0,0,2014,332,False,"Shooter, Adventure","MachineGames, Bethesda Softworks","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One",82.3478397126592,great,849
2207,Shadow of the Colossus,main_game,0,0,2005,367,True,"Platform, Puzzle, Adventure","Sony Computer Entertainment, Inc. (SCEI), Team Ico",PlayStation 2,90.3949548825683,great,847
866,Sid Meier's Civilization V,main_game,13,2,2010,395,True,"Simulator, Strategy, Turn-based strategy (TBS)","2K Games, Aspyr Media, Firaxis Games, Mastertronic","Linux, PC (Microsoft Windows), Mac",85.8668587894335,great,842
379,Metal Gear Solid 3: Snake Eater,main_game,0,0,2004,311,True,"Shooter, Tactical, Adventure","Konami Computer Entertainment Japan, Konami",PlayStation 2,92.7789244661717,great,842
8173,Overwatch,main_game,0,0,2016,443,False,"Shooter, Strategy","Blizzard Entertainment, Square Enix","PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch",83.0393911853969,great,841
7323,Rise of the Tomb Raider,main_game,3,0,2015,377,True,"Shooter, Adventure","Microsoft Studios, Crystal Dynamics, Square Enix","Linux, PC (Microsoft Windows), Xbox 360, Mac, PlayStation 4, Xbox One, Google Stadia",81.9822375735093,great,838
545,Call of Duty: Black Ops,main_game,5,0,2010,230,True,Shooter,"Activision, Square Enix, Treyarch, Aspyr Media, n-Space","Wii, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",79.4894731175952,great,833
14593,Hollow Knight,main_game,4,0,2017,177,False,"Platform, Hack and slash/Beat 'em up, Adventure, Indie","Team Cherry, Team Cherry","Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, Nintendo Switch",92.2895500467501,great,828
2993,The Wolf Among Us,main_game,0,0,2013,309,True,"Point-and-click, Adventure",Telltale Games,"PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One",83.9937781455363,great,827
537,Assassin's Creed: Revelations,main_game,3,0,2011,292,True,Adventure,"Ubisoft Entertainment, Ubisoft Montreal, Ubisoft Kyiv, Ubisoft Annecy, (Archive) Ubisoft Quebec, Ubisoft Singapore, Ubisoft Bucharest, Massive Entertainment - A Ubisoft Studio","PC (Microsoft Windows), PlayStation 3, Xbox 360",76.8872736669568,great,815
1887,Dragon Age: Inquisition,main_game,3,0,2014,342,True,"Role-playing (RPG), Tactical, Adventure","Electronic Arts, BioWare, BioWare Edmonton","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One",83.37359461112669,great,810
327,Age of Empires II: The Age of Kings,main_game,0,1,1999,310,False,"Real Time Strategy (RTS), Strategy","Ensemble Studios, Microsoft, Konami","PC (Microsoft Windows), PlayStation 2, Mac",86.4990908150811,great,793
230,StarCraft,main_game,1,3,1998,319,False,"Real Time Strategy (RTS), Strategy",Blizzard Entertainment,"PC (Microsoft Windows), Mac",89.13886256136561,great,785
11208,NieR: Automata,main_game,1,0,2017,319,True,"Role-playing (RPG), Hack and slash/Beat 'em up","Platinum Games, Square Enix, ILCA, Inc.","PC (Microsoft Windows), PlayStation 4",91.3644771349512,great,784
17000,Stardew Valley,main_game,0,0,2016,242,False,"Role-playing (RPG), Simulator, Indie","Sickhead Games, Chucklefish Games, The Secret Police, ConcernedApe, Chucklefish Games","Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch",87.3068857138802,great,782
43,Deus Ex: Human Revolution,main_game,0,0,2011,329,False,"Shooter, Role-playing (RPG)","Square Enix, Eidos Montréal, Feral Interactive","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",84.4390215267486,great,779
673,DOOM,main_game,1,0,1993,345,True,Shooter,"Activision, GT Interactive, Soft Bank, Art Data Interactive, Bashou House, Williams Entertainment, Ocean Software, Imagineer, Atari, id Software, Nerve Software, LLC, Sega, Sculptured Software, Logicware, Rage Software, David A. Palmer Productions, Bethesda Softworks","Linux, PC (Microsoft Windows), Xbox 360, PC DOS, Mac, Super Nintendo Entertainment System (SNES), Game Boy Advance, Sega 32X, Sega Saturn, iOS, PlayStation 4, Xbox One, 3DO Interactive Multiplayer, Super Famicom, Atari Jaguar, Nintendo Switch",84.43695109470181,great,776
40,Mafia II,main_game,3,0,2010,280,False,"Shooter, Racing, Adventure","2K Czech, Massive Bear Studios, 2K Games, Take-Two Interactive","PC (Microsoft Windows), PlayStation 3, Xbox 360",81.3604520225099,great,775
1352,Journey,main_game,0,0,2012,296,False,"Platform, Adventure, Indie","ThatGameCompany, Sony Computer Entertainment, Inc. (SCEI), Annapurna Interactive, SCE Santa Monica Studio","PC (Microsoft Windows), PlayStation 3, iOS, PlayStation 4",86.7285029217495,great,771
551,God of War II,main_game,0,0,2007,233,True,"Platform, Hack and slash/Beat 'em up, Adventure","Sony Computer Entertainment, Inc. (SCEI), Capcom, SIE Santa Monica Studio",PlayStation 2,86.57149416861101,great,763
979,Call of Duty: Modern Warfare 3,main_game,0,0,2011,180,True,"Shooter, Tactical, Adventure","Treyarch, Raven Software, Sledgehammer Games, Infinity Ward, Activision","Wii, PC (Microsoft Windows), PlayStation 3, Xbox 360",72.6419601906709,good,751
1985,Metal Gear Solid V: The Phantom Pain,main_game,0,0,2015,354,True,"Shooter, Tactical, Adventure","Kojima Productions, Konami","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One",85.4105389217171,great,749
21,BioShock 2,main_game,1,0,2010,274,False,"Shooter, Role-playing (RPG), Adventure","2K Marin, 2K Games, D3 Publisher, 2K China, Darkside Game Studios, Take-Two Interactive, Digital Extremes, Feral Interactive, Arkane Studios, 2K Australia, 2K Boston","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",80.7480157902264,great,749
549,God of War,main_game,0,0,2005,299,True,"Strategy, Hack and slash/Beat 'em up, Adventure","Sony Computer Entertainment, Inc. (SCEI), Capcom, SIE Santa Monica Studio",PlayStation 2,84.6637168327209,great,742
960,Max Payne 3,main_game,0,0,2012,265,False,Shooter,"Rockstar Games, Rockstar Vancouver, Rockstar New England, Rockstar London, Rockstar Toronto, Take-Two Interactive","PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac",82.2398051151336,great,735
493,Heavy Rain,main_game,1,0,2010,264,False,Adventure,"Quantic Dream, Sony Computer Entertainment, Inc. (SCEI)","PC (Microsoft Windows), PlayStation 3, PlayStation 4",82.7278793671889,great,728
622,Call of Duty 2,main_game,0,0,2005,291,True,Shooter,"Activision, Infinity Ward","PC (Microsoft Windows), Xbox 360, Mac",84.59516617786021,great,727
6801,Far Cry 4,main_game,3,0,2014,321,False,"Shooter, Tactical, Adventure","Ubisoft Montreal, Ubisoft Entertainment, Ubisoft Shanghai, Ubisoft Kyiv, Red Storm Entertainment, Ubisoft Toronto","PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One, Google Stadia",75.8496470495839,great,724
1121,Watch_Dogs,main_game,2,0,2014,268,False,"Shooter, Adventure","Ubisoft Entertainment, Ubisoft Montreal, Ubisoft","PC (Microsoft Windows), PlayStation 3, Xbox 360, Wii U, PlayStation 4, Xbox One, Google Stadia",73.3711958487462,good,723
